epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.5272,0.97448,1.98679,1.23742,0.97351,0.76,0.85896,0.68441,0.82724,1.13237,1.10426,0.000647619,0.000647619,0.000647619
2,104.853,0.99519,1.23859,1.25,0.68905,0.82,0.74664,0.4519,0.95946,1.49769,1.18842,0.00105406,0.00105406,0.00105406
3,158.22,1.01879,1.14526,1.28327,0.65431,0.82,0.84476,0.51352,1.11759,3.17239,1.35647,0.0011965,0.0011965,0.0011965
4,211.695,1.03838,1.10081,1.33493,0.79919,0.86,0.91651,0.67986,0.80695,2.40181,1.09881,0.000812,0.000812,0.000812
5,265.504,0.96927,1.12841,1.29765,0.94457,0.86,0.94809,0.72955,0.7057,1.27015,1.03732,0.000416,0.000416,0.000416
