epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,73.436,0,56.1703,0,0,0,0,0,0,108.948,0,0.00034,0.00034,0.00034
2,192.576,0,46.9796,0,0,0,0,0,0,99.9964,0,0.00067228,0.00067228,0.00067228
