epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1699.15,1.67202,2.0286,1.4767,0.42845,0.49658,0.40865,0.18965,1.9812,2.97286,2.38272,0.000663194,0.000663194,0.000663194
2,3606.46,1.63124,1.51712,1.46165,0.57194,0.52741,0.5495,0.28422,1.4566,1.66739,1.55458,0.000891007,0.000891007,0.000891007
3,5018.43,1.55327,1.36846,1.40323,0.63399,0.64692,0.66896,0.35997,1.32831,1.55794,1.44373,0.000678819,0.000678819,0.000678819
