epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,158.988,0.97438,2.05214,1.47111,0.05934,0.94747,0.68838,0.4355,0.8068,2.87444,1.64621,0.00034,0.00034,0.00034
2,314.525,1.0077,1.41572,1.46214,0.87138,0.54205,0.78112,0.40096,1.19042,2.62402,2.03758,0.00067228,0.00067228,0.00067228
3,642.957,1.01455,1.36998,1.45709,0.68385,0.60574,0.63386,0.30938,1.17613,2.78051,2.17663,0.000976048,0.000976048,0.000976048
